rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.768951431910197,7.216399872,1.5576941967010498,4.747860980375087
16,32,3686400,3.854368833700816,6.614498816,1.5160831212997437,4.55435137131404
64,128,14745600,3.739002589384715,7.997725184,1.476814866065979,4.378975820309134
